hospital,description,code|1,code|1|type,code|2,code|2|type,setting,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,modifiers,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,estimated_amount,standard_charge|min,standard_charge|max,standard_charge|methodology,additional_generic_notesnj_Clara-Maass-Medical-Center,Hc Mammo Diagn W/ Cad Bilat,77066,CPT,,,Outpatient,681,,Cigna Healthcare,HMO,,299.5145,,,,68.1,408.6,fee schedule,
nj_Clara-Maass-Medical-Center,Hc Mammo Diagn W/ Cad Bilat,77066,CPT,,,Outpatient,681,,Cigna Healthcare,PPO,,299.5145,,,,68.1,408.6,fee schedule,
nj_Clara-Maass-Medical-Center,Hc Mammo Diagn W/ Cad Bilat,77066,CPT,,,Outpatient,681,,Aetna,HMO,,,56,,381.36,68.1,408.6,percent of total billed charges,
nj_Clara-Maass-Medical-Center,Hc Mammo Diagn W/ Cad Bilat,77066,CPT,,,Outpatient,681,,Aetna,PPO,,,56,,381.36,68.1,408.6,percent of total billed charges,
nj_Clara-Maass-Medical-Center,Hc Mammo Diagn W/ Cad Bilat,77066,CPT,,,Both,681,,First Health,Commercial,,,60,,408.6,68.1,408.6,percent of total billed charges,
nj_Clara-Maass-Medical-Center,Hc Mammo Diagn W/ Cad Bilat,77066,CPT,,,Outpatient,681,,United Healthcare,United Commercial,,190.4532,,,,68.1,408.6,fee schedule,
nj_Clara-Maass-Medical-Center,Hc Mammo Diagn W/ Cad Bilat,77066,CPT,,,Outpatient,681,,United Healthcare,Oxford Commercial,,190.4532,,,,68.1,408.6,fee schedule,
nj_Clara-Maass-Medical-Center,Hc Mammo Diagn W/ Cad Bilat,77066,CPT,,,Outpatient,681,,Horizon BCBS,HMO,,128.16,,,,68.1,408.6,fee schedule,
nj_Clara-Maass-Medical-Center,Hc Mammo Diagn W/ Cad Bilat,77066,CPT,,,Outpatient,681,,Horizon BCBS,PPO,,128.16,,,,68.1,408.6,fee schedule,
nj_Clara-Maass-Medical-Center,Hc Mammo Diagn W/ Cad Bilat,77066,CPT,,,Outpatient,681,,AmeriHealth,Local Value,,85.715,,,,68.1,408.6,fee schedule,
nj_Clara-Maass-Medical-Center,Hc Mammo Diagn W/ Cad Bilat,77066,CPT,,,Outpatient,681,,AmeriHealth,Regional Preferred,,85.715,,,,68.1,408.6,fee schedule,
nj_Clara-Maass-Medical-Center,Hc Mammo Diagn W/ Cad Bilat,77066,CPT,,,Outpatient,681,,Horizon BCBS,Horizon NJ Health,,,10,,68.1,68.1,408.6,percent of total billed charges,
nj_Clara-Maass-Medical-Center,Hc Mammo Diagn W/ Cad Bilat,77066,CPT,,,Outpatient,681,,United Healthcare,Community Plan,,,16.0474,,109.282794,68.1,408.6,percent of total billed charges,
nj_Clara-Maass-Medical-Center,Hc Mammo Diagn W/ Cad Bilat,77066,CPT,,,Outpatient,681,,Aetna,Aetna Better Health,,,17.917,,122.01477,68.1,408.6,percent of total billed charges,
nj_Clara-Maass-Medical-Center,Hc Mammo Diagn W/ Cad Bilat,77066,CPT,,,Outpatient,681,,Wellpoint,Wellpoint NJ FamilyCare,,,57,,388.17,68.1,408.6,percent of total billed charges,
nj_Clara-Maass-Medical-Center,Hc Mammo Diagn W/ Cad Bilat,77066,CPT,,,Outpatient,681,,Fidelis Care,Fidelis Care NJ FamilyCare,,,16.6706,,113.526786,68.1,408.6,percent of total billed charges,
nj_Clara-Maass-Medical-Center,Hc Mammo Diagn W/ Cad Bilat,77066,CPT,,,Outpatient,681,,Aetna,Aetna Medicare Advantage,,,,,,68.1,408.6,Other,Not Separately Payable
nj_Clara-Maass-Medical-Center,Hc Mammo Diagn W/ Cad Bilat,77066,CPT,,,Outpatient,681,,United Healthcare,United Healthcare Medicare Advantage,,,,,,68.1,408.6,Other,Not Separately Payable
nj_Clara-Maass-Medical-Center,Hc Mammo Diagn W/ Cad Bilat,77066,CPT,,,Outpatient,681,,Clover Health,Clover Health Medicare Advantage,,,,,,68.1,408.6,Other,Not Separately Payable
